label,cello_s,cello_w,cello_i,cello_c,psort_s,psort_w,psort_i,psort_c,cello2go_s,cello2go_w,cello2go_i,cello2go_c,ngLoc_s,ngLoc_w,ngLoc_i,ngLoc_c,gpos_s,gpos_w,gpos_i,gpos_c,loctree_s,loctree_w,loctree_i,loctree_c
C,0.400133767,0.0103168472,0.111550891,4.477998,0,0,0,10,0,0,0,1,0.009385,0,0.02301,0.9648,0,0,0,1,0,0,0,19
C,0.004287879,0.002916647,0.05904634,4.933749,0,0,0,10,0,0,0,1,0.007157,0,0.006066,0.9839,0,0,0,1,0,0,0,70
C,1.5445623,0.10276481,0.3334998,3.019174,0,0,0,10,0,0,0,1,0.01148,0,0.01358,0.9645,0,0,0,1,0,0,0,27
C,0.1732596,0.023914425,0.16080095,4.642025,0.02,0.01,0,9.97,0.5,0,0,0.5,0.04345,0,0.03478,0.9218,0,0,0,1,0,0,0,100
C,0.0372926103,0.012503783,0.05866845,4.891536,0,0,0,10,0,0,0,1,0.006563,0,0.006487,0.9869,0,0,0,1,0,0,0,30
C,0.0863714,0.01524656,0.281435,4.616947,0,0,0,10,0,0,0,1,0.02373,0,0.01168,0.9646,0,0,0,1,0,0,0,7
C,0.039044033,0.008396556,0.1152249,4.837334,0,0,0,10,0,0,0,1,0.007889,0,0.0109,0.9812,0,0,0,1,0,0,0,46
C,0.03168852,0.01546226,0.52120618,4.431643,0,0,0,10,0,0,0,1,0.01196,0,0.0166,0.9714,0,0,0,1,0,0,0,31
C,0.20411015,0.021547111,0.08089524,4.693449,0,0,0,10,0,0,0,1,0.007547,0,0.01009,0.9793,0,0,0,1,0,0,0,35
C,0.090162829,0.04275261,0.72278008,4.144305,0,0,0,10,0,0,0,1,0.01568,0,0.02017,0.9641,0,0,0,1,0,0,0,32
C,0.11037652,0.009410622,0.1003307,4.779882,0,0,0,10,0,0,0,1,0.01053,0,0.01461,0.9749,0,0,0,1,0,0,0,8
C,0.063870245,0.006115182,0.139491,4.790525,0,0,0,10,0,0,0,1,0,0.006309,0.005926,0.9833,0,0,0,1,0,0,0,27
C,0.32920905,0.035752151,0.12103062,4.514008,0,0,0,10,0,0,0,1,0.01313,0,0.01896,0.96,0,0,0,1,0,0,0,21
C,0.12188756,0.036690736,0.1121224,4.729299,0,0,0,10,0,0,0,1,0.01052,0,0.01936,0.9701,0,0,0,1,0,0,0,100
C,0.045741699,0.001765443,0.057257403,4.895235,0,0,0,10,0,0,0,1,0.009689,0,0.00749,0.9789,0,0,0,1,0,0,0,29
C,0.10703367,0.02275535,0.12699683,4.743213,0,0,0,10,0,0,0,1,0.008414,0,0.01681,0.9696,0,0,0,1,0,0,0,37
